Update title,Update link,Update type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Clicks,Click through rate (CTR),Likes,Comments,Shares,Follows,Engagement rate,Content Type
Join our experts August 10 at 2PM EST for a global real estate webcast focused on the macro landscape and current regional considerations for real estate investing in North America. https://inves.co/3iQi12g,https://www.linkedin.com/feed/update/urn:li:activity:6829049099774390272,Sponsored,Canadian Real Estate Webcast Series,Jessica Huban,08/05/2021,07/29/2021,08/19/2021,All followers,14728,,57,0.003870179,0,0,0,0,0.003870179,
Join our experts August 10 at 2PM EST for a global real estate webcast focused on the macro landscape and current regional considerations for real estate investing in North America. https://inves.co/3iQi12g,https://www.linkedin.com/feed/update/urn:li:activity:6829049099774390272,Sponsored,Canadian Real Estate Webcast Series - Sponsored Posts,Jessica Huban,08/05/2021,08/05/2021,08/19/2021,All followers,7463,,39,0.00522578,4,0,0,0,0.010451561,
Join our experts August 10 at 2PM EST for a global real estate webcast focused on the macro landscape and current regional considerations for real estate investing in North America. https://inves.co/3iQi12g,https://www.linkedin.com/feed/update/urn:li:activity:6829049099774390272,Total,,Jessica Huban,08/05/2021,,,All followers,22338,,104,0.004655743,5,0,0,0,0.006446414,
"#PlanSponsors, for more than a decade we’ve analyzed the investment language DC participants prefer. Read our latest research. https://inves.co/3BRo9Qp",https://www.linkedin.com/feed/update/urn:li:activity:6826511752478392320,Organic,,Jessica Huban,07/29/2021,,,All followers,161,,1,0.00621118,0,0,0,,0.00621118,
"#PlanSponsors, new DC research shows even younger participants want to attain retirement income. See why you may need to start the retirement income conversation now. https://inves.co/3xoYX1h",https://www.linkedin.com/feed/update/urn:li:activity:6823967420336627713,Organic,,Jessica Huban,07/22/2021,,,All followers,205,,3,0.014634146,11,0,0,,0.068292685,
"#PlanSponsors, new DC research shows even younger participants want to attain retirement income. See why you may need to start the retirement income conversation now. https://inves.co/3xoYX1h",https://www.linkedin.com/feed/update/urn:li:activity:6823967420336627713,Sponsored,Can - DC Language Boosted Posts,Jessica Huban,07/22/2021,08/23/2021,10/28/2021,All followers,13777,,36,0.002613051,12,0,0,0,0.010887711,
"#PlanSponsors, new DC research shows even younger participants want to attain retirement income. See why you may need to start the retirement income conversation now. https://inves.co/3xoYX1h",https://www.linkedin.com/feed/update/urn:li:activity:6823967420336627713,Total,,Jessica Huban,07/22/2021,,,All followers,13982,,39,0.002789301,23,0,0,0,0.011729366,
"The ESG journey is a continuum, with room for constant improvement and evolution. Along the path, asset managers and asset owners can learn from each other, sharing insights and ideas. To understand how Invesco approaches sustainable investing and its core ESG principles, download the full 2020 Investment Stewardship Report. https://inves.co/3h8cKlY",https://www.linkedin.com/feed/update/urn:li:activity:6823242588607283201,Organic,,Jessica Huban,07/20/2021,,,All followers,80,,1,0.0125,0,0,0,,0.0125,
"As asset owners work to integrate ESG across their portfolios, asset managers must be prepared to answer big questions about their beliefs and actions related to culture, governance, diversity and inclusion, and - importantly - climate change. To understand how Invesco approaches sustainable investing and its core ESG principles, download the full 2020 Investment Stewardship Report. https://inves.co/3h8cKlY",https://www.linkedin.com/feed/update/urn:li:activity:6820705621009043456,Organic,,Jessica Huban,07/13/2021,,,All followers,75,,1,0.013333334,0,0,0,,0.013333334,
New DC research uncovered that 54% of participants preferred language that conveys support – a guided approach vs. a simplified approach. See more insights on effectively communicating the DC investment menu. https://inves.co/2VjfkhF,https://www.linkedin.com/feed/update/urn:li:activity:6818901603978907648,Organic,,Jessica Huban,07/08/2021,,,All followers,203,,4,0.019704433,1,0,0,,0.024630541,
